Region,MonthDate,HPIndex
North,31/01/2017,269.3554
North,30/04/2017,272.9263
North,31/07/2017,279.3991
North,31/10/2017,273.6217
North,31/01/2018,280.1287
North,30/04/2018,277.4293
North,31/07/2018,275.0488
North,31/10/2018,276.2865
North,31/01/2019,282.2195
North,30/04/2019,282.3362
North,31/07/2019,280.7688
North,31/10/2019,283.6578
North,31/01/2020,281.228
North,30/04/2020,282.0978
North West,31/10/1973,15.5169
North West,31/01/1974,15.7474
North West,30/04/1974,15.8756
North West,31/07/1974,15.8572
North West,31/10/1974,16.1166
North West,31/01/1975,16.4462
North West,30/04/1975,16.8118
North West,31/07/1975,17.2
North West,31/10/1975,17.6529
North West,31/01/1976,17.9965
North West,30/04/1976,18.3112
North West,31/07/1976,18.811
North West,31/10/1976,19.3621
North West,31/01/1977,19.9702
North West,30/04/1977,20.5753
North West,31/07/1977,21.1166
North West,31/10/1977,21.4789
North West,31/01/1978,22.7274
North West,30/04/1978,23.4574
North West,31/07/1978,25.2237
North West,31/10/1978,27.133
North West,31/01/1979,28.9696
North West,30/04/1979,30.7363
North West,31/07/1979,32.7218
North West,31/10/1979,34.842
North West,31/01/1980,36.4737
North West,30/04/1980,37.7699
North West,31/07/1980,38.9499
North West,31/10/1980,38.8138
North West,31/01/1981,38.8617
North West,30/04/1981,39.2057
North West,31/07/1981,39.0278
North West,31/10/1981,38.63
North West,31/01/1982,38.8497
North West,30/04/1982,39.3055
North West,31/07/1982,39.622
North West,31/10/1982,40.9755
North West,31/01/1983,41.7687
North West,30/04/1983,42.6961
North West,31/07/1983,43.7808
North West,31/10/1983,44.6655
North West,31/01/1984,46.422
North West,30/04/1984,47.7435
North West,31/07/1984,47.9314
North West,31/10/1984,50.4845
North West,31/01/1985,51.5614
North West,30/04/1985,52.2353
North West,31/07/1985,52.8122
North West,31/10/1985,53.5247
North West,31/01/1986,53.6098
North West,30/04/1986,54.3509
North West,31/07/1986,55.3249
North West,31/10/1986,56.4228
North West,31/01/1987,57.8698
North West,30/04/1987,58.5442
North West,31/07/1987,59.4314
North West,31/10/1987,59.0615
North West,31/01/1988,60.1406
North West,30/04/1988,62.4165
North West,31/07/1988,67.1547
North West,31/10/1988,74.2499
North West,31/01/1989,81.4921
North West,30/04/1989,89.3936
North West,31/07/1989,99.0527
North West,31/10/1989,98.6237
North West,31/01/1990,102.58
North West,30/04/1990,104.9184
North West,31/07/1990,103.6122
North West,31/10/1990,104.421
North West,31/01/1991,107.1514
North West,30/04/1991,107.1533
North West,31/07/1991,107.3601
North West,31/10/1991,108.0209
North West,31/01/1992,104.4831
North West,30/04/1992,106.5043
North West,31/07/1992,104.7202
North West,31/10/1992,102.9743
North West,31/01/1993,100.871
North West,30/04/1993,101.1604
North West,31/07/1993,103.1545
North West,31/10/1993,101.7816
North West,31/01/1994,102.5758
North West,30/04/1994,99.9139
North West,31/07/1994,99.7401
North West,31/10/1994,101.0457
North West,31/01/1995,95.7178
North West,30/04/1995,95.8835
North West,31/07/1995,94.6569
North West,31/10/1995,94.7638
North West,31/01/1996,96.0665
North West,30/04/1996,98.4739
North West,31/07/1996,99.107
North West,31/10/1996,101.3908
North West,31/01/1997,103.3342
North West,30/04/1997,103.961
North West,31/07/1997,106.3249
North West,31/10/1997,108.389
